home,score,away,years,coach,home_goals,away_goals,israel_home,is_goals,is_get_goals,coach_goals,coach_get_goals,coach_sub_goals,is_points,coach_points
Austria,5–2,Israel,1994,Shlomo Sharf,5,2,a,2,5,57,56,1,0,1.2222222222222223
Israel,1–3,Sweden,1994,Shlomo Sharf,1,3,h,1,3,57,56,1,0,1.2222222222222223
Israel,0–2,Bulgaria,1994,Shlomo Sharf,0,2,h,0,2,57,56,1,0,1.2222222222222223
Israel,0–4,France,1994,Shlomo Sharf,0,4,h,0,4,57,56,1,0,1.2222222222222223
Bulgaria,2–2,Israel,1994,Shlomo Sharf,2,2,a,2,2,57,56,1,1,1.2222222222222223
Sweden,5–0,Israel,1994,Shlomo Sharf,5,0,a,0,5,57,56,1,0,1.2222222222222223
Finland,0–0,Israel,1994,Shlomo Sharf,0,0,a,0,0,57,56,1,1,1.2222222222222223
France,2–3,Israel,1994,Shlomo Sharf,2,3,a,3,2,57,56,1,3,1.2222222222222223
Israel,1–1,Austria,1994,Shlomo Sharf,1,1,h,1,1,57,56,1,1,1.2222222222222223
Israel,1–3,Finland,1994,Shlomo Sharf,1,3,h,1,3,57,56,1,0,1.2222222222222223
Israel,2–1,Bulgaria,1998,Shlomo Sharf,2,1,h,2,1,57,56,1,3,1.2222222222222223
Israel,1–1,Russia,1998,Shlomo Sharf,1,1,h,1,1,57,56,1,1,1.2222222222222223
Cyprus,2–0,Israel,1998,Shlomo Sharf,2,0,a,0,2,57,56,1,0,1.2222222222222223
Israel,1–0,Luxembourg,1998,Shlomo Sharf,1,0,h,1,0,57,56,1,3,1.2222222222222223
Luxembourg,0–3,Israel,1998,Shlomo Sharf,0,3,a,3,0,57,56,1,3,1.2222222222222223
Israel,2–0,Cyprus,1998,Shlomo Sharf,2,0,h,2,0,57,56,1,3,1.2222222222222223
Russia,2–0,Israel,1998,Shlomo Sharf,2,0,a,0,2,57,56,1,0,1.2222222222222223
Bulgaria,1–0,Israel,1998,Shlomo Sharf,1,0,a,0,1,57,56,1,0,1.2222222222222223
Israel,2–0,Liechtenstein,2002,Rikhard Nilsen,2,0,h,2,0,11,7,4,3,1.5
Spain,2–0,Israel,2002,Rikhard Nilsen,2,0,a,0,2,11,7,4,0,1.5
Israel,3–1,Bosnia and Herzegovina,2002,Rikhard Nilsen,3,1,h,3,1,11,7,4,3,1.5
Austria,2–1,Israel,2002,Rikhard Nilsen,2,1,a,1,2,11,7,4,0,1.5
Liechtenstein,0–3,Israel,2002,Rikhard Nilsen,0,3,a,3,0,11,7,4,3,1.5
Israel,1–1,Spain,2002,Rikhard Nilsen,1,1,h,1,1,11,7,4,1,1.5
Bosnia and Herzegovina,0–0,Israel,2002,Rikhard Nilsen,0,0,a,0,0,11,7,4,1,1.5
Israel,1–1,Austria,2002,Rikhard Nilsen,1,1,h,1,1,11,7,4,1,1.5
France,0–0,Israel,2006,Avraham Grant,0,0,a,0,0,24,21,3,1,1.5
Israel,2–1,Cyprus,2006,Avraham Grant,2,1,h,2,1,24,21,3,3,1.5
Israel,2–2,Switzerland,2006,Avraham Grant,2,2,h,2,2,24,21,3,1,1.5
Cyprus,1–2,Israel,2006,Avraham Grant,1,2,a,2,1,24,21,3,3,1.5
Israel,1–1,Republic of Ireland,2006,Avraham Grant,1,1,h,1,1,24,21,3,1,1.5
Israel,1–1,France,2006,Avraham Grant,1,1,h,1,1,24,21,3,1,1.5
Republic of Ireland,2–2,Israel,2006,Avraham Grant,2,2,a,2,2,24,21,3,1,1.5
Switzerland,1–1,Israel,2006,Avraham Grant,1,1,a,1,1,24,21,3,1,1.5
Faroe Islands,0–2,Israel,2006,Avraham Grant,0,2,a,2,0,24,21,3,3,1.5
Israel,2–1,Faroe Islands,2006,Avraham Grant,2,1,h,2,1,24,21,3,3,1.5
Israel,2–2,Switzerland,2010,Dror Kashtan,2,2,h,2,2,40,22,18,1,1.7727272727272727
Moldova,1–2,Israel,2010,Dror Kashtan,1,2,a,2,1,40,22,18,3,1.7727272727272727
Luxembourg,1–3,Israel,2010,Dror Kashtan,1,3,a,3,1,40,22,18,3,1.7727272727272727
Latvia,1–1,Israel,2010,Dror Kashtan,1,1,a,1,1,40,22,18,1,1.7727272727272727
Israel,1–1,Greece,2010,Dror Kashtan,1,1,h,1,1,40,22,18,1,1.7727272727272727
Greece,2–1,Israel,2010,Dror Kashtan,2,1,a,1,2,40,22,18,0,1.7727272727272727
Israel,0–1,Latvia,2010,Dror Kashtan,0,1,h,0,1,40,22,18,0,1.7727272727272727
Israel,7–0,Luxembourg,2010,Dror Kashtan,7,0,h,7,0,40,22,18,3,1.7727272727272727
Israel,3–1,Moldova,2010,Dror Kashtan,3,1,h,3,1,40,22,18,3,1.7727272727272727
Switzerland,0–0,Israel,2010,Dror Kashtan,0,0,a,0,0,40,22,18,1,1.7727272727272727
Azerbaijan,1–1,Israel,2014,Eli Gutman,1,1,a,1,1,19,14,5,1,1.4
Israel,0–4,Russia,2014,Eli Gutman,0,4,h,0,4,19,14,5,0,1.4
Luxembourg,0–6,Israel,2014,Eli Gutman,0,6,a,6,0,19,14,5,3,1.4
Israel,3–0,Luxembourg,2014,Eli Gutman,3,0,h,3,0,19,14,5,3,1.4
Israel,3–3,Portugal,2014,Eli Gutman,3,3,h,3,3,19,14,5,1,1.4
Northern Ireland,0–2,Israel,2014,Eli Gutman,0,2,a,2,0,19,14,5,3,1.4
Israel,1–1,Azerbaijan,2014,Eli Gutman,1,1,h,1,1,19,14,5,1,1.4
Russia,3–1,Israel,2014,Eli Gutman,3,1,a,1,3,19,14,5,0,1.4
Portugal,1–1,Israel,2014,Eli Gutman,1,1,a,1,1,19,14,5,1,1.4
Israel,1–1,Northern Ireland,2014,Eli Gutman,1,1,h,1,1,19,14,5,1,1.4
Israel,1–3,Italy,2018,Elisha Levy,1,3,h,1,3,26,29,-3,0,1.25
Macedonia,1–2,Israel,2018,Elisha Levy,1,2,a,2,1,26,29,-3,3,1.25
Israel,2–1,Liechtenstein,2018,Elisha Levy,2,1,h,2,1,26,29,-3,3,1.25
Albania,0–3,Israel,2018,Elisha Levy,0,3,a,3,0,26,29,-3,3,1.25
Spain,4–1,Israel,2018,Elisha Levy,4,1,a,1,4,26,29,-3,0,1.25
Israel,0–3,Albania,2018,Elisha Levy,0,3,h,0,3,26,29,-3,0,1.25
Israel,0–1,Macedonia,2018,Elisha Levy,0,1,h,0,1,26,29,-3,0,1.25
Italy,1–0,Israel,2018,Elisha Levy,1,0,a,0,1,26,29,-3,0,1.25
Liechtenstein,0–1,Israel,2018,Elisha Levy,0,1,a,1,0,26,29,-3,3,1.25
Israel,0–1,Spain,2018,Elisha Levy,0,1,h,0,1,26,29,-3,0,1.25
Israel,0–2,Denmark,2022,Wely Rotenshtern,0,2,h,0,2,30,28,2,0,1.5
Israel,1–1,Scotland,2022,Wely Rotenshtern,1,1,h,1,1,30,28,2,1,1.5
Moldova,1–4,Israel,2022,Wely Rotenshtern,1,4,a,4,1,30,28,2,3,1.5
Faroe Islands,0–4,Israel,2022,Wely Rotenshtern,0,4,a,4,0,30,28,2,3,1.5
Israel,5–2,Austria,2022,Wely Rotenshtern,5,2,h,5,2,30,28,2,3,1.5
Denmark,5–0,Israel,2022,Wely Rotenshtern,5,0,a,0,5,30,28,2,0,1.5
Scotland,3–2,Israel,2022,Wely Rotenshtern,3,2,a,2,3,30,28,2,0,1.5
Israel,2–1,Moldova,2022,Wely Rotenshtern,2,1,h,2,1,30,28,2,3,1.5
Austria,4–2,Israel,2022,Wely Rotenshtern,4,2,a,2,4,30,28,2,0,1.5
Israel,3–2,Faroe Islands,2022,Wely Rotenshtern,3,2,h,3,2,30,28,2,3,1.5
Austria,1–1,Israel,2000,Shlomo Sharf,1,1,a,1,1,57,56,1,1,1.2222222222222223
San Marino,0–5,Israel,2000,Shlomo Sharf,0,5,a,5,0,57,56,1,3,1.2222222222222223
Israel,1–2,Spain,2000,Shlomo Sharf,1,2,h,1,2,57,56,1,0,1.2222222222222223
Israel,3–0,Cyprus,2000,Shlomo Sharf,3,0,h,3,0,57,56,1,3,1.2222222222222223
Israel,5–0,Austria,2000,Shlomo Sharf,5,0,h,5,0,57,56,1,3,1.2222222222222223
Cyprus,3–2,Israel,2000,Shlomo Sharf,3,2,a,2,3,57,56,1,0,1.2222222222222223
Israel,8–0,San Marino,2000,Shlomo Sharf,8,0,h,8,0,57,56,1,3,1.2222222222222223
Spain,3–0,Israel,2000,Shlomo Sharf,3,0,a,0,3,57,56,1,0,1.2222222222222223
Israel,2–1,Poland,1996,Shlomo Sharf,2,1,h,2,1,57,56,1,3,1.2222222222222223
Israel,2–2,Slovakia,1996,Shlomo Sharf,2,2,h,2,2,57,56,1,1,1.2222222222222223
Azerbaijan,0–2,Israel,1996,Shlomo Sharf,0,2,a,2,0,57,56,1,3,1.2222222222222223
Israel,1–1,Romania,1996,Shlomo Sharf,1,1,h,1,1,57,56,1,1,1.2222222222222223
Israel,0–0,France,1996,Shlomo Sharf,0,0,h,0,0,57,56,1,1,1.2222222222222223
Poland,4–3,Israel,1996,Shlomo Sharf,4,3,a,3,4,57,56,1,0,1.2222222222222223
Romania,2–1,Israel,1996,Shlomo Sharf,2,1,a,1,2,57,56,1,0,1.2222222222222223
Slovakia,1–0,Israel,1996,Shlomo Sharf,1,0,a,0,1,57,56,1,0,1.2222222222222223
Israel,2–0,Azerbaijan,1996,Shlomo Sharf,2,0,h,2,0,57,56,1,3,1.2222222222222223
France,2–0,Israel,1996,Shlomo Sharf,2,0,a,0,2,57,56,1,0,1.2222222222222223
Malta,0–2,Israel,2004,Avraham Grant,0,2,a,2,0,24,21,3,3,1.5
Cyprus,1–1,Israel,2004,Avraham Grant,1,1,a,1,1,24,21,3,1,1.5
Israel,1–2,France,2004,Avraham Grant,1,2,h,1,2,24,21,3,0,1.5
Israel,2–0,Cyprus,2004,Avraham Grant,2,0,h,2,0,24,21,3,3,1.5
Israel,0–0,Slovenia,2004,Avraham Grant,0,0,h,0,0,24,21,3,1,1.5
Slovenia,3–1,Israel,2004,Avraham Grant,3,1,a,1,3,24,21,3,0,1.5
Israel,2–2,Malta,2004,Avraham Grant,2,2,h,2,2,24,21,3,1,1.5
France,3–0,Israel,2004,Avraham Grant,3,0,a,0,3,24,21,3,0,1.5
Estonia,0–1,Israel,2008,Dror Kashtan,0,1,a,1,0,40,22,18,3,1.7727272727272727
Israel,4–1,Andorra,2008,Dror Kashtan,4,1,h,4,1,40,22,18,3,1.7727272727272727
Russia,1–1,Israel,2008,Dror Kashtan,1,1,a,1,1,40,22,18,1,1.7727272727272727
Israel,3–4,Croatia,2008,Dror Kashtan,3,4,h,3,4,40,22,18,0,1.7727272727272727
Israel,0–0,England,2008,Dror Kashtan,0,0,h,0,0,40,22,18,1,1.7727272727272727
